seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_146447	293	No terminal repeats	1	11	0.9923	NA	0	1.7183	NA	NA
k127_114705	301	No terminal repeats	1	11	0.9922	NA	0	1.7183	NA	NA
k127_2938	301	No terminal repeats	1	11	0.9920	NA	0	1.7183	NA	NA
k127_79271	307	No terminal repeats	1	11	0.9918	NA	0	1.7183	NA	NA
k127_9414	301	No terminal repeats	1	11	0.9914	NA	0	1.7183	NA	NA
k127_112287	347	No terminal repeats	1	11	0.9913	NA	0	1.7183	NA	NA
k127_163641	300	No terminal repeats	1	11	0.9901	NA	0	1.7183	NA	NA
k127_44310	296	No terminal repeats	1	11	0.9866	NA	0	1.7183	NA	NA
k127_158464	1483	No terminal repeats	1	11	0.9853	NA	0	0.8746	NA	NA
k127_63909	237	No terminal repeats	1	11	0.9818	NA	1	1.6808	MOBQ	NA
k127_160760	396	No terminal repeats	1	11	0.9781	NA	0	0.6445	NA	NA
k127_90382	301	No terminal repeats	1	11	0.9778	NA	0	0.9600	NA	NA
k127_70482	387	No terminal repeats	1	11	0.9769	NA	0	1.4864	NA	NA
k127_111017	301	No terminal repeats	1	11	0.9752	NA	0	0.9009	NA	NA
k127_150466	235	No terminal repeats	1	11	0.9748	NA	0	1.5350	NA	NA
k127_75560	481	No terminal repeats	1	11	0.9736	NA	0	0.6845	NA	NA
k127_77061	301	No terminal repeats	1	11	0.9734	NA	0	1.7162	NA	NA
k127_166914	525	No terminal repeats	2	11	0.9692	NA	0	1.7183	NA	NA
k127_26385	301	No terminal repeats	1	11	0.9683	NA	0	0.9167	NA	NA
k127_160372	299	No terminal repeats	1	11	0.9679	NA	0	1.5828	NA	NA
k127_85632	301	No terminal repeats	1	11	0.9678	NA	0	0.8994	NA	NA
k127_70976	299	No terminal repeats	1	11	0.9655	NA	0	1.4946	NA	NA
k127_45518	1171	No terminal repeats	2	11	0.9599	NA	0	0.8166	NA	NA
k127_157530	301	No terminal repeats	1	11	0.9584	NA	1	1.6987	NA	NA
k127_114825	458	No terminal repeats	1	11	0.9564	NA	0	1.4272	NA	NA
k127_165585	493	No terminal repeats	1	11	0.9559	NA	0	1.5100	NA	NA
k127_511	346	No terminal repeats	1	11	0.9546	NA	0	1.5838	NA	NA
k127_26830	301	No terminal repeats	1	11	0.9541	NA	0	0.6497	NA	NA
k127_57587	300	No terminal repeats	1	11	0.9529	NA	0	0.3981	NA	NA
