seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_15773	299	No terminal repeats	1	11	0.9922	NA	0	1.7183	NA	NA
k127_933	381	No terminal repeats	1	11	0.9920	NA	1	1.7183	B_traI	NA
k127_2518	356	No terminal repeats	1	11	0.9919	NA	0	1.7183	NA	NA
k127_14365	482	No terminal repeats	1	11	0.9916	NA	0	1.7183	NA	NA
k127_17975	341	No terminal repeats	1	11	0.9915	NA	0	1.7183	NA	NA
k127_4998	325	No terminal repeats	1	11	0.9900	NA	0	1.7183	NA	NA
k127_4432	18410	No terminal repeats	21	11	0.9900	NA	1	11.1217	NA	NA
k127_10742	262	No terminal repeats	1	11	0.9900	NA	0	1.7183	NA	NA
k127_682	259	No terminal repeats	1	11	0.9898	NA	0	1.7183	NA	NA
k127_6823	228	No terminal repeats	1	11	0.9887	NA	0	1.7183	NA	NA
k127_2916	633	No terminal repeats	1	11	0.9885	NA	0	1.7183	NA	NA
k127_9051	372	No terminal repeats	1	11	0.9884	NA	0	1.7183	NA	NA
k127_7846	326	No terminal repeats	1	11	0.9876	NA	0	1.7183	NA	NA
k127_9145	1746	No terminal repeats	3	11	0.9875	NA	0	1.7183	NA	NA
k127_14836	405	No terminal repeats	1	11	0.9873	NA	0	1.7183	NA	NA
k127_10071	468	No terminal repeats	1	11	0.9869	NA	1	1.7183	B_traI	NA
k127_15446	1222	No terminal repeats	2	11	0.9863	NA	0	1.7183	NA	NA
k127_2604	11202	No terminal repeats	10	11	0.9855	NA	0	3.2633	NA	NA
k127_4550	565	No terminal repeats	1	11	0.9848	NA	0	1.7183	NA	NA
k127_13196	422	No terminal repeats	1	11	0.9845	NA	0	1.7183	NA	NA
k127_3029	2346	DTR	5	11	0.9841	NA	0	0.6748	NA	NA
k127_10362	300	No terminal repeats	1	11	0.9838	NA	0	1.5500	NA	NA
k127_15624	1499	No terminal repeats	3	11	0.9838	NA	0	3.2226	NA	NA
k127_10242	1145	No terminal repeats	2	11	0.9830	NA	0	1.7183	NA	NA
k127_11173	2803	No terminal repeats	7	11	0.9824	NA	0	1.7183	NA	NA
