seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_5369	6389	No terminal repeats	6	11	0.9943	NA	2	5.5761	NA	NA
k127_6237	354	No terminal repeats	1	11	0.9926	NA	0	1.7183	NA	NA
k127_4100	371	No terminal repeats	1	11	0.9922	NA	0	1.7183	NA	NA
k127_9501	369	No terminal repeats	1	11	0.9922	NA	0	1.7183	NA	NA
k127_2830	293	No terminal repeats	1	11	0.9911	NA	0	1.7183	NA	NA
k127_7182	254	No terminal repeats	1	11	0.9910	NA	0	1.7183	NA	NA
k127_4405	18555	No terminal repeats	21	11	0.9901	NA	1	11.1217	NA	NA
k127_6750	240	No terminal repeats	1	11	0.9897	NA	0	1.7183	NA	NA
k127_4616	6076	No terminal repeats	9	11	0.9894	NA	1	3.4285	NA	NA
k127_4065	311	No terminal repeats	1	11	0.9893	NA	0	1.7183	NA	NA
k127_577	366	No terminal repeats	1	11	0.9888	NA	0	1.7183	NA	NA
k127_6494	293	No terminal repeats	1	11	0.9883	NA	0	1.7183	NA	NA
k127_9556	2110	No terminal repeats	4	11	0.9881	NA	0	1.7183	NA	NA
k127_270	266	No terminal repeats	1	11	0.9874	NA	0	1.7183	NA	NA
k127_3248	385	No terminal repeats	3	11	0.9869	NA	1	5.1459	T_virB3	NA
k127_8123	3902	No terminal repeats	5	11	0.9868	NA	1	2.7698	NA	NA
k127_4617	308	No terminal repeats	1	11	0.9867	NA	0	1.7183	NA	NA
k127_6975	2540	No terminal repeats	4	11	0.9839	NA	0	1.3125	NA	NA
k127_582	5500	No terminal repeats	8	11	0.9836	NA	0	1.3819	NA	NA
k127_7789	41449	No terminal repeats	67	11	0.9831	NA	1	3.1195	T_virB9	NA
k127_5652	63150	No terminal repeats	75	11	0.9819	NA	0	11.6479	NA	NA
k127_6198	1239	No terminal repeats	2	11	0.9814	NA	2	2.6187	T_virB9;T_virB8	NA
k127_396	2346	DTR	4	11	0.9808	NA	0	0.6748	NA	NA
k127_7279	334	No terminal repeats	1	11	0.9807	NA	0	1.7183	NA	NA
k127_6474	17533	No terminal repeats	25	11	0.9806	NA	0	0.6822	NA	NA
k127_9098	265	No terminal repeats	1	11	0.9803	NA	0	1.6695	NA	NA
k127_7040	2227	No terminal repeats	4	11	0.9781	NA	0	1.9533	NA	NA
k127_2553	17131	No terminal repeats	23	11	0.9780	NA	1	10.2145	NA	NA
