seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_26687	300	No terminal repeats	1	11	0.9912	NA	0	1.7183	NA	NA
k127_74861	1792	No terminal repeats	3	11	0.9910	NA	0	2.9580	NA	NA
k127_13646	319	No terminal repeats	1	11	0.9893	NA	0	1.7183	NA	NA
k127_10637	296	No terminal repeats	1	11	0.9877	NA	0	1.7183	NA	NA
k127_54837	295	No terminal repeats	1	11	0.9876	NA	0	1.7183	NA	NA
k127_71317	353	No terminal repeats	1	11	0.9867	NA	0	1.7183	NA	NA
k127_84194	453	No terminal repeats	1	11	0.9857	NA	0	1.7183	NA	NA
k127_62591	301	No terminal repeats	1	11	0.9838	NA	0	1.7183	NA	NA
k127_11009	482	No terminal repeats	1	11	0.9782	NA	0	1.6801	NA	NA
k127_53669	777	No terminal repeats	1	11	0.9691	NA	0	1.7129	NA	NA
k127_61606	439	No terminal repeats	1	11	0.9611	NA	1	1.4688	NA	NA
k127_5249	301	No terminal repeats	1	11	0.9605	NA	0	1.4776	NA	NA
k127_23132	407	No terminal repeats	1	11	0.9589	NA	0	1.6690	NA	NA
k127_43812	237	No terminal repeats	1	11	0.9573	NA	0	1.4894	NA	NA
k127_34097	660	No terminal repeats	1	11	0.9573	NA	1	1.6015	NA	NA
k127_87263	301	No terminal repeats	2	11	0.9545	NA	0	1.7183	NA	NA
k127_39555	289	No terminal repeats	1	11	0.9534	NA	0	1.5652	NA	NA
k127_44957	301	No terminal repeats	2	11	0.9530	NA	0	1.7183	NA	NA
k127_49697	301	No terminal repeats	1	11	0.9529	NA	0	1.5653	NA	NA
k127_53024	301	No terminal repeats	1	11	0.9527	NA	0	1.1399	NA	NA
k127_7540	342	No terminal repeats	1	11	0.9518	NA	0	1.6319	NA	NA
k127_14346	474	No terminal repeats	2	11	0.9452	NA	0	1.7183	NA	NA
k127_13297	294	No terminal repeats	1	11	0.9446	NA	0	1.4783	NA	NA
k127_15156	878	No terminal repeats	1	11	0.9431	NA	0	1.5927	NA	NA
k127_11994	300	No terminal repeats	2	11	0.9407	NA	0	1.5575	NA	NA
k127_69827	631	No terminal repeats	2	11	0.9382	NA	0	1.0302	NA	NA
k127_36250	389	No terminal repeats	1	11	0.9339	NA	0	0.8746	NA	NA
k127_65622	255	No terminal repeats	1	11	0.9334	NA	0	0.8814	NA	NA
k127_58537	297	No terminal repeats	1	11	0.9295	NA	0	1.0098	NA	NA
k127_17380	543	No terminal repeats	1	11	0.9285	NA	0	1.5927	NA	NA
k127_22304	653	No terminal repeats	1	11	0.9201	NA	0	0.8746	NA	NA
k127_80077	419	No terminal repeats	2	11	0.9046	NA	0	0.6845	NA	NA
k127_49956	802	No terminal repeats	2	11	0.8992	NA	0	1.5652	NA	NA
k127_68473	932	No terminal repeats	1	11	0.8991	NA	1	1.6015	NA	NA
k127_39949	420	No terminal repeats	1	11	0.8989	NA	0	0.9600	NA	NA
k127_6960	423	No terminal repeats	1	11	0.8944	NA	0	1.5927	NA	NA
k127_36349	299	No terminal repeats	1	11	0.8927	NA	0	1.2432	NA	NA
k127_73953	264	No terminal repeats	1	11	0.8907	NA	0	0.4357	NA	NA
k127_17446	682	No terminal repeats	1	11	0.8903	NA	1	1.2242	MOBP1	NA
k127_51373	515	No terminal repeats	1	11	0.8899	NA	1	1.2017	F_traH	NA
k127_81543	301	No terminal repeats	1	11	0.8870	NA	0	1.0098	NA	NA
k127_55002	312	No terminal repeats	1	11	0.8799	NA	0	0.2042	NA	NA
k127_83835	554	No terminal repeats	2	11	0.8673	NA	0	1.2689	NA	NA
k127_59733	301	No terminal repeats	1	11	0.8619	NA	0	0.3241	NA	NA
k127_66584	445	No terminal repeats	2	11	0.8579	NA	1	1.7145	NA	NA
k127_1743	298	No terminal repeats	1	11	0.8477	NA	0	1.2661	NA	NA
k127_39342	536	No terminal repeats	2	11	0.8462	NA	0	1.2689	NA	NA
k127_88372	525	No terminal repeats	1	11	0.8337	NA	0	1.2661	NA	NA
k127_45601	285	No terminal repeats	1	11	0.8284	NA	0	0.4357	NA	NA
k127_39680	898	No terminal repeats	3	11	0.8259	NA	0	1.5927	NA	NA
k127_15718	280	No terminal repeats	1	11	0.8253	NA	1	1.3148	T_virB8	NA
k127_66539	455	No terminal repeats	1	11	0.8179	NA	1	1.3148	T_virB8	NA
k127_66051	460	No terminal repeats	1	11	0.8174	NA	0	1.2458	NA	NA
k127_55249	301	No terminal repeats	1	11	0.8168	NA	0	1.6155	NA	NA
k127_14256	1261	No terminal repeats	1	11	0.8151	NA	1	1.2242	MOBP1	NA
k127_34408	297	No terminal repeats	2	11	0.8141	NA	0	1.2432	NA	NA
k127_29084	758	No terminal repeats	2	11	0.8052	NA	0	1.6746	NA	NA
k127_18119	1012	No terminal repeats	4	11	0.8040	NA	0	0.4076	NA	NA
k127_2960	967	No terminal repeats	2	11	0.8008	NA	1	1.2242	MOBP1	NA
k127_89841	301	No terminal repeats	1	11	0.7998	NA	0	0.9595	NA	NA
k127_48383	1010	No terminal repeats	3	11	0.7977	NA	0	0.0000	NA	NA
k127_70727	300	No terminal repeats	2	11	0.7857	NA	0	0.9273	NA	NA
k127_14675	266	No terminal repeats	1	11	0.7829	NA	0	0.4250	NA	NA
k127_66032	1277	No terminal repeats	3	11	0.7822	NA	0	0.0000	NA	NA
k127_12796	300	No terminal repeats	1	11	0.7811	NA	1	0.9974	I_traK	NA
k127_78281	301	No terminal repeats	1	11	0.7778	NA	1	1.2837	NA	NA
k127_9729	1821	No terminal repeats	6	11	0.7763	NA	0	0.0000	NA	NA
k127_63020	409	No terminal repeats	1	11	0.7695	NA	0	1.2873	NA	NA
k127_83852	301	No terminal repeats	1	11	0.7643	NA	0	1.4311	NA	NA
k127_25129	1026	No terminal repeats	3	11	0.7547	NA	0	0.6380	NA	NA
k127_40349	852	No terminal repeats	2	11	0.7529	NA	0	0.0000	NA	NA
k127_57707	300	No terminal repeats	1	11	0.7528	NA	0	1.2689	NA	NA
k127_63111	351	No terminal repeats	1	11	0.7505	NA	0	0.8598	NA	NA
k127_43603	538	No terminal repeats	2	11	0.7493	NA	0	0.5254	NA	NA
k127_29450	1310	No terminal repeats	2	11	0.7434	NA	0	0.0000	NA	NA
k127_38438	367	No terminal repeats	1	11	0.7429	NA	0	0.1206	NA	NA
k127_85020	355	No terminal repeats	1	11	0.7423	NA	0	0.1708	NA	NA
k127_27875	384	No terminal repeats	1	11	0.7405	NA	0	0.9569	NA	NA
k127_68090	680	No terminal repeats	2	11	0.7391	NA	1	1.2242	MOBP1	NA
k127_34433	984	No terminal repeats	3	11	0.7343	NA	0	0.3322	NA	NA
k127_50427	264	No terminal repeats	1	11	0.7339	NA	0	1.0836	NA	NA
k127_51991	459	No terminal repeats	2	4	0.7333	NA	0	0.0000	NA	NA
k127_69157	1332	No terminal repeats	3	11	0.7326	NA	0	0.0000	NA	NA
k127_74865	419	No terminal repeats	1	11	0.7315	NA	0	0.3354	NA	NA
k127_3916	832	No terminal repeats	2	11	0.7262	NA	0	0.0000	NA	NA
k127_13517	1344	DTR	3	11	0.7173	NA	0	0.0000	NA	NA
k127_29308	1241	No terminal repeats	1	11	0.7158	NA	0	0.0000	NA	NA
k127_63293	523	No terminal repeats	2	11	0.7158	NA	0	0.0000	NA	NA
k127_64624	514	No terminal repeats	1	11	0.7101	NA	0	1.0481	NA	NA
k127_72575	1239	No terminal repeats	2	11	0.7096	NA	0	0.0000	NA	NA
k127_76685	1060	No terminal repeats	2	11	0.7096	NA	0	0.0000	NA	NA
k127_57285	1637	DTR	4	11	0.7085	NA	0	0.0000	NA	NA
k127_21872	300	No terminal repeats	1	11	0.7077	NA	0	0.9943	NA	NA
k127_87036	301	No terminal repeats	2	11	0.7043	NA	0	0.3444	NA	NA
k127_7059	301	No terminal repeats	1	11	0.7031	NA	0	1.4322	NA	NA
k127_90440	563	No terminal repeats	1	11	0.7018	NA	0	0.0000	NA	NA
k127_44345	301	No terminal repeats	1	11	0.7002	NA	0	0.9653	NA	NA
k127_4280	1109	No terminal repeats	2	11	0.6951	NA	0	0.0000	NA	NA
k127_39560	285	No terminal repeats	1	11	0.6947	NA	0	0.9606	NA	NA
