seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_7528	452	No terminal repeats	2	11	0.9924	NA	0	2.8196	NA	NA
k127_4681	476	No terminal repeats	1	11	0.9917	NA	0	1.7183	NA	NA
k127_333	339	No terminal repeats	1	11	0.9911	NA	0	1.7183	NA	NA
k127_9284	18379	No terminal repeats	21	11	0.9911	NA	1	11.1217	NA	NA
k127_1379	266	No terminal repeats	1	11	0.9910	NA	0	1.7183	NA	NA
k127_1949	250	No terminal repeats	1	11	0.9906	NA	0	1.7183	NA	NA
k127_2880	2647	No terminal repeats	3	11	0.9906	NA	1	2.7698	NA	NA
k127_8802	260	No terminal repeats	1	11	0.9903	NA	0	1.7183	NA	NA
k127_4580	557	No terminal repeats	1	11	0.9899	NA	0	1.7183	NA	NA
k127_3838	249	No terminal repeats	1	11	0.9893	NA	0	1.7183	NA	NA
k127_8864	6063	No terminal repeats	8	11	0.9892	NA	1	3.4285	NA	NA
k127_3492	9108	No terminal repeats	9	11	0.9883	NA	0	2.9692	NA	NA
k127_443	229	No terminal repeats	1	11	0.9876	NA	0	1.7183	NA	NA
k127_2563	252	No terminal repeats	1	11	0.9876	NA	0	1.7183	NA	NA
k127_7709	6250	No terminal repeats	5	11	0.9874	NA	0	2.4773	NA	NA
k127_6451	18437	No terminal repeats	26	11	0.9869	NA	0	3.0516	NA	NA
k127_9994	5881	No terminal repeats	9	11	0.9861	NA	0	0.7644	NA	NA
k127_9337	48402	No terminal repeats	58	11	0.9858	NA	0	14.3164	NA	NA
k127_544	2889	No terminal repeats	4	11	0.9850	NA	0	1.7183	NA	NA
k127_8970	3451	No terminal repeats	2	11	0.9841	NA	0	3.0667	NA	NA
k127_8641	2346	DTR	5	11	0.9818	NA	0	0.6748	NA	NA
k127_6852	16566	No terminal repeats	22	11	0.9811	NA	1	10.2145	NA	NA
k127_3024	9748	No terminal repeats	9	11	0.9808	NA	1	4.5246	NA	NA
k127_9271	2560	No terminal repeats	2	11	0.9797	NA	0	2.9074	NA	NA
k127_7741	238	No terminal repeats	1	11	0.9789	NA	0	1.4960	NA	NA
k127_3870	6382	No terminal repeats	8	11	0.9786	NA	1	2.2994	NA	NA
k127_6161	448	No terminal repeats	1	11	0.9765	NA	0	1.5504	NA	NA
k127_792	307	No terminal repeats	1	11	0.9759	NA	0	1.1013	NA	NA
k127_7132	2212	No terminal repeats	4	11	0.9759	NA	0	1.9533	NA	NA
k127_10894	18804	No terminal repeats	32	11	0.9755	NA	1	4.7405	T_virB9	NA
k127_9765	9094	No terminal repeats	16	11	0.9724	NA	0	0.6092	NA	NA
k127_8365	1072	No terminal repeats	2	11	0.9700	NA	2	2.6187	T_virB8;T_virB9	NA
k127_10717	226	No terminal repeats	1	11	0.9695	NA	0	1.4635	NA	NA
k127_3519	934	No terminal repeats	2	11	0.9693	NA	0	1.7183	NA	NA
k127_3716	833	No terminal repeats	2	11	0.9689	NA	0	1.7183	NA	NA
k127_10356	5817	No terminal repeats	4	11	0.9689	NA	0	0.3944	NA	NA
k127_339	2125	No terminal repeats	3	11	0.9687	NA	0	2.2415	NA	NA
k127_5937	2977	No terminal repeats	3	11	0.9685	NA	2	2.3779	t4cp1;MOBH	NA
k127_4828	246	No terminal repeats	1	11	0.9674	NA	0	1.5075	NA	NA
k127_8190	406	No terminal repeats	2	11	0.9671	NA	0	1.7183	NA	NA
k127_3721	1976	No terminal repeats	3	11	0.9643	NA	0	1.0302	NA	NA
k127_3786	279	No terminal repeats	1	11	0.9639	NA	0	1.2547	NA	NA
k127_7606	1926	No terminal repeats	3	11	0.9637	NA	1	2.5013	MOBH	NA
k127_615	301	No terminal repeats	1	11	0.9630	NA	0	0.8746	NA	NA
k127_3023	353	No terminal repeats	2	11	0.9624	NA	0	1.7183	NA	NA
k127_10771	7601	No terminal repeats	9	11	0.9615	NA	0	0.0730	NA	NA
k127_10344	358	No terminal repeats	1	11	0.9603	NA	0	1.6960	NA	NA
k127_10885	267	No terminal repeats	1	11	0.9601	NA	1	1.7183	NA	NA
k127_7526	1107	No terminal repeats	2	11	0.9597	NA	0	1.7183	NA	NA
k127_9408	241	No terminal repeats	1	11	0.9585	NA	0	1.5269	NA	NA
k127_4386	2327	No terminal repeats	3	11	0.9581	NA	0	1.7183	NA	NA
k127_2933	252	No terminal repeats	2	11	0.9565	NA	1	1.7183	NA	NA
k127_2172	1233	No terminal repeats	2	11	0.9563	NA	0	1.7183	NA	NA
k127_5908	238	No terminal repeats	1	11	0.9563	NA	0	1.6695	NA	NA
k127_9891	377	No terminal repeats	1	11	0.9560	NA	0	1.5625	NA	NA
k127_2194	9879	No terminal repeats	11	11	0.9555	NA	0	3.8205	NA	NA
k127_9283	1231	No terminal repeats	2	11	0.9555	NA	0	0.9446	NA	NA
k127_4186	11664	No terminal repeats	8	11	0.9552	NA	0	0.0805	NA	NA
k127_2701	250	No terminal repeats	2	11	0.9546	NA	0	1.7183	NA	NA
k127_7803	3457	No terminal repeats	4	11	0.9544	NA	2	3.4366	B_traI;B_traI	NA
k127_6437	233	No terminal repeats	1	11	0.9522	NA	0	1.4949	NA	NA
k127_2266	8570	No terminal repeats	6	11	0.9521	NA	0	3.5418	NA	NA
k127_9423	481	No terminal repeats	1	11	0.9521	NA	0	1.6115	NA	NA
k127_7604	1080	No terminal repeats	2	11	0.9494	NA	0	1.7183	NA	NA
k127_9466	280	No terminal repeats	1	11	0.9486	NA	0	0.8746	NA	NA
k127_7107	295	No terminal repeats	2	11	0.9479	NA	0	1.7183	NA	NA
k127_9276	482	No terminal repeats	1	11	0.9472	NA	0	1.5625	NA	NA
k127_9831	1937	No terminal repeats	4	11	0.9461	NA	0	1.2460	NA	NA
k127_7925	301	No terminal repeats	1	11	0.9440	NA	0	1.6030	NA	NA
k127_6805	233	No terminal repeats	1	11	0.9415	NA	0	1.1567	NA	NA
k127_7265	3347	No terminal repeats	5	11	0.9388	NA	0	3.7339	NA	NA
k127_6738	626	No terminal repeats	1	11	0.9388	NA	0	1.5127	NA	NA
k127_1065	525	No terminal repeats	1	11	0.9380	NA	1	1.0515	NA	NA
k127_2637	420	No terminal repeats	1	11	0.9380	NA	0	1.6960	NA	NA
k127_3927	3974	No terminal repeats	6	11	0.9360	NA	0	1.4414	NA	NA
k127_5323	11467	No terminal repeats	3	11	0.9349	NA	0	2.0745	NA	NA
k127_2057	4979	No terminal repeats	3	11	0.9338	NA	0	0.7862	NA	NA
k127_6643	268	No terminal repeats	1	11	0.9328	NA	0	1.6105	NA	NA
k127_5253	3496	No terminal repeats	6	11	0.9286	NA	0	0.9600	NA	NA
k127_2825	4046	No terminal repeats	7	11	0.9284	NA	0	0.3986	NA	NA
k127_5906	1574	No terminal repeats	2	11	0.9251	NA	0	0.7904	NA	NA
k127_5513	342	No terminal repeats	1	11	0.9227	NA	0	1.0618	NA	NA
k127_3727	6840	No terminal repeats	9	11	0.9197	NA	0	1.5504	NA	NA
k127_9947	226	No terminal repeats	2	11	0.9169	NA	0	1.7183	NA	NA
k127_5348	2411	No terminal repeats	2	11	0.9168	NA	0	1.5051	NA	NA
k127_4336	425	No terminal repeats	2	11	0.9153	NA	0	1.7263	NA	NA
k127_1811	3874	No terminal repeats	4	11	0.9146	NA	0	2.7651	NA	NA
k127_11233	6362	No terminal repeats	7	11	0.9144	NA	0	3.4160	NA	NA
k127_6329	299	No terminal repeats	1	11	0.9105	NA	0	1.5260	NA	NA
k127_8702	7774	No terminal repeats	9	11	0.9103	NA	0	3.0609	NA	NF033145
k127_2837	2787	No terminal repeats	3	11	0.9070	NA	0	2.0177	NA	NA
k127_8261	462	No terminal repeats	1	11	0.9048	NA	0	0.8693	NA	NA
k127_412	2412	No terminal repeats	3	11	0.9047	NA	0	1.4566	NA	NA
k127_5198	14361	No terminal repeats	18	11	0.9031	NA	0	2.4062	NA	NF000025
k127_10023	1110	No terminal repeats	4	11	0.9018	NA	0	1.0873	NA	NA
k127_2164	1062	No terminal repeats	2	11	0.9006	NA	1	0.9935	T_virB9	NA
k127_7912	7451	No terminal repeats	9	11	0.8965	NA	0	1.3335	NA	NA
k127_7117	2981	No terminal repeats	4	11	0.8947	NA	0	2.7613	NA	NA
k127_9229	9701	No terminal repeats	9	11	0.8944	NA	0	0.9826	NA	NA
k127_10205	3864	No terminal repeats	7	11	0.8913	NA	0	2.9112	NA	NA
k127_6023	5512	No terminal repeats	5	11	0.8838	NA	0	1.0990	NA	NA
k127_5856	482	No terminal repeats	2	11	0.8811	NA	0	1.6115	NA	NA
k127_4184	442	No terminal repeats	1	11	0.8796	NA	0	0.8315	NA	NA
k127_11152	247	No terminal repeats	1	11	0.8756	NA	0	1.4180	NA	NA
k127_11125	13797	No terminal repeats	17	11	0.8702	NA	0	2.1211	NA	NF033135
k127_2146	4917	No terminal repeats	7	11	0.8663	NA	0	0.6033	NA	NA
k127_11102	309	No terminal repeats	1	11	0.8642	NA	0	1.0652	NA	NA
k127_7336	1025	No terminal repeats	2	11	0.8555	NA	0	1.7101	NA	NA
k127_3163	1671	No terminal repeats	2	11	0.8549	NA	0	1.4637	NA	NA
k127_4169	4194	No terminal repeats	6	11	0.8508	NA	0	0.9160	NA	NA
k127_8953	1941	No terminal repeats	2	11	0.8504	NA	0	1.3476	NA	NA
k127_10379	4875	No terminal repeats	7	11	0.8491	NA	0	2.3731	NA	NA
k127_1908	2701	No terminal repeats	5	11	0.8491	NA	0	2.0795	NA	NA
k127_6100	260	No terminal repeats	1	11	0.8470	NA	0	1.6165	NA	NA
k127_6886	250	No terminal repeats	1	11	0.8463	NA	0	1.2568	NA	NA
k127_301	330	No terminal repeats	1	11	0.8461	NA	0	1.2722	NA	NA
k127_8039	1370	No terminal repeats	3	11	0.8458	NA	0	1.7042	NA	NA
k127_8313	1937	No terminal repeats	3	11	0.8454	NA	0	0.9257	NA	NA
k127_4505	246	No terminal repeats	1	11	0.8453	NA	0	1.3229	NA	NA
k127_7546	461	No terminal repeats	1	11	0.8432	NA	0	1.3799	NA	NA
k127_7897	286	No terminal repeats	1	11	0.8406	NA	1	1.2067	T_virB5	NA
k127_4225	318	No terminal repeats	1	11	0.8406	NA	1	0.9769	T_virB9	NA
k127_8695	3792	No terminal repeats	5	11	0.8387	NA	0	3.6383	NA	NA
k127_7903	5012	No terminal repeats	7	11	0.8362	NA	0	1.6955	NA	NA
k127_10664	643	No terminal repeats	2	11	0.8358	NA	0	1.6038	G_tfc7	NA
k127_4920	1354	No terminal repeats	3	11	0.8336	NA	0	1.1682	NA	NA
k127_5936	10573	No terminal repeats	11	11	0.8335	NA	0	0.7715	NA	NF000272
k127_1609	1372	No terminal repeats	2	11	0.8288	NA	0	0.0000	NA	NA
k127_6597	260	No terminal repeats	1	11	0.8272	NA	1	1.3212	T_virB5	NA
k127_8933	1698	No terminal repeats	3	11	0.8245	NA	0	0.4589	NA	NA
k127_7437	3949	No terminal repeats	4	11	0.8224	NA	0	1.5048	NA	NA
k127_5989	1446	No terminal repeats	2	11	0.8158	NA	0	1.3472	NA	NA
k127_11074	7126	No terminal repeats	12	11	0.8072	NA	0	1.0156	NA	NA
k127_1973	423	No terminal repeats	2	11	0.8048	NA	0	0.2979	NA	NA
k127_5250	245	No terminal repeats	1	11	0.8014	NA	0	1.3229	NA	NA
k127_5820	1141	No terminal repeats	1	11	0.7990	NA	0	0.9932	NA	NA
k127_2072	465	No terminal repeats	2	11	0.7937	NA	0	1.2106	NA	NA
k127_2978	255	No terminal repeats	1	11	0.7926	NA	0	1.3301	NA	NA
k127_8351	443	No terminal repeats	2	11	0.7902	NA	0	1.0062	NA	NA
k127_10233	276	No terminal repeats	1	11	0.7889	NA	0	0.8355	NA	NF033144
k127_10515	2104	No terminal repeats	2	11	0.7889	NA	0	1.4294	NA	NA
k127_8147	336	No terminal repeats	1	11	0.7877	NA	0	1.6167	NA	NA
k127_4647	17476	No terminal repeats	16	11	0.7853	NA	0	3.8623	NA	NF012174;NF033135;NF033085
k127_8508	3340	No terminal repeats	7	11	0.7851	NA	0	1.6252	NA	NA
k127_3336	279	No terminal repeats	1	11	0.7848	NA	1	1.1279	G_tfc15	NA
k127_3618	7040	No terminal repeats	7	11	0.7838	NA	0	0.1443	NA	NA
k127_10345	2131	No terminal repeats	3	11	0.7822	NA	0	0.6068	NA	NA
k127_10274	341	No terminal repeats	1	11	0.7818	NA	0	1.2322	NA	NA
k127_578	2343	No terminal repeats	3	11	0.7762	NA	0	0.9048	NA	NA
k127_9160	467	No terminal repeats	1	11	0.7745	NA	0	0.0000	NA	NA
k127_1011	1826	No terminal repeats	2	11	0.7737	NA	0	0.4603	NA	NA
k127_192	409	No terminal repeats	2	11	0.7728	NA	0	0.8166	NA	NA
k127_7431	4059	No terminal repeats	4	11	0.7682	NA	0	0.0181	NA	NA
k127_4906	2384	No terminal repeats	3	11	0.7680	NA	0	0.8360	NA	NA
k127_7368	566	No terminal repeats	1	11	0.7606	NA	0	0.1890	NA	NA
