seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_23307	285	No terminal repeats	1	11	0.9893	NA	0	1.7183	NA	NA
k127_95050	301	No terminal repeats	1	11	0.9887	NA	0	1.7183	NA	NA
k127_43187	290	No terminal repeats	1	11	0.9853	NA	0	1.6513	NA	NA
k127_82480	301	No terminal repeats	1	11	0.9818	NA	0	1.0302	NA	NA
k127_24795	1415	No terminal repeats	1	11	0.9802	NA	0	0.8746	NA	NA
k127_96938	301	No terminal repeats	1	11	0.9764	NA	0	1.5350	NA	NA
k127_12525	228	No terminal repeats	1	11	0.9639	NA	0	0.5614	NA	NA
k127_73710	301	No terminal repeats	1	11	0.9632	NA	0	1.6843	NA	NA
k127_31722	540	No terminal repeats	1	11	0.9600	NA	0	1.2661	NA	NA
k127_84250	324	No terminal repeats	1	11	0.9592	NA	0	1.3492	NA	NA
k127_55976	300	No terminal repeats	1	11	0.9591	NA	0	1.7183	I_traW	NA
k127_15860	474	No terminal repeats	1	11	0.9554	NA	0	0.7375	NA	NA
k127_13922	300	No terminal repeats	1	11	0.9530	NA	0	1.2661	NA	NA
k127_57568	562	No terminal repeats	1	11	0.9490	NA	0	1.4636	NA	NA
k127_29084	325	No terminal repeats	1	11	0.9484	NA	0	1.5114	NA	NA
k127_49385	639	No terminal repeats	3	11	0.9467	NA	0	1.7183	NA	NA
k127_71875	1069	No terminal repeats	2	11	0.9465	NA	0	0.9642	NA	NA
k127_49492	532	No terminal repeats	1	11	0.9413	NA	0	1.5127	NA	NA
k127_17083	300	No terminal repeats	1	11	0.9383	NA	0	1.4272	NA	NA
k127_87283	446	No terminal repeats	1	11	0.9303	NA	0	1.5493	NA	NA
k127_58601	488	No terminal repeats	1	11	0.9301	NA	0	0.8399	NA	NA
k127_96494	299	No terminal repeats	1	11	0.9297	NA	0	1.3823	NA	NA
k127_58381	740	No terminal repeats	1	11	0.9275	NA	0	0.8746	NA	NA
k127_38047	399	No terminal repeats	1	11	0.9253	NA	0	1.7129	NA	NA
k127_28554	301	No terminal repeats	1	11	0.9238	NA	0	0.8746	NA	NA
k127_24214	300	No terminal repeats	1	11	0.9217	NA	0	0.6078	NA	NA
k127_52873	465	No terminal repeats	1	11	0.9144	NA	0	1.3370	NA	NA
k127_53111	605	No terminal repeats	2	11	0.9087	NA	0	0.5836	NA	NA
k127_83613	1665	No terminal repeats	7	11	0.9006	NA	0	1.3492	NA	NA
k127_15504	389	No terminal repeats	2	11	0.8961	NA	0	1.3640	NA	NA
k127_40241	543	No terminal repeats	1	11	0.8917	NA	0	0.2952	NA	NA
k127_91240	301	No terminal repeats	1	15	0.8896	NA	0	1.3581	NA	NA
k127_23369	300	No terminal repeats	1	11	0.8829	NA	0	1.7129	NA	NA
k127_83774	474	No terminal repeats	1	11	0.8764	NA	0	1.2000	NA	NA
k127_12404	650	No terminal repeats	3	11	0.8738	NA	0	1.7129	NA	NA
k127_95536	282	No terminal repeats	1	11	0.8579	NA	0	1.2661	NA	NA
k127_49667	374	No terminal repeats	1	11	0.8574	NA	0	0.5408	NA	NA
k127_88318	305	No terminal repeats	1	11	0.8562	NA	0	1.3514	NA	NA
k127_75788	327	No terminal repeats	2	11	0.8449	NA	0	1.7129	NA	NA
k127_68167	300	No terminal repeats	1	11	0.8416	NA	0	0.4357	NA	NA
k127_57336	629	No terminal repeats	2	11	0.8373	NA	0	1.1502	NA	NA
k127_45116	370	No terminal repeats	1	11	0.8315	NA	1	1.3397	T_virB8	NA
k127_81862	422	No terminal repeats	2	11	0.8301	NA	0	0.4566	NA	NA
k127_14493	292	No terminal repeats	1	11	0.8284	NA	0	1.2661	NA	NA
k127_82661	301	No terminal repeats	1	11	0.8266	NA	0	1.2661	NA	NA
k127_97188	301	No terminal repeats	1	11	0.8264	NA	0	1.2568	NA	NA
k127_20512	300	No terminal repeats	1	11	0.8124	NA	0	1.0836	NA	NA
k127_88174	1473	No terminal repeats	6	11	0.8055	NA	0	0.0000	NA	NA
k127_5266	300	No terminal repeats	1	11	0.7938	NA	0	0.9016	NA	NA
k127_23350	392	No terminal repeats	1	11	0.7867	NA	0	1.2850	NA	NA
k127_32129	281	No terminal repeats	1	11	0.7830	NA	0	1.2505	NA	NA
k127_31499	300	No terminal repeats	1	11	0.7794	NA	0	1.0744	NA	NA
k127_41161	1246	No terminal repeats	4	11	0.7789	NA	0	0.0000	NA	NA
k127_65174	349	No terminal repeats	2	11	0.7764	NA	0	0.6547	NA	NA
k127_86973	430	No terminal repeats	1	11	0.7727	NA	0	0.9595	NA	NA
k127_85390	913	No terminal repeats	2	11	0.7613	NA	0	0.0000	NA	NA
k127_15012	735	No terminal repeats	3	11	0.7609	NA	0	0.0000	NA	NA
k127_23311	301	No terminal repeats	2	11	0.7479	NA	0	1.2689	NA	NA
k127_1321	448	No terminal repeats	1	11	0.7473	NA	0	1.0134	NA	NA
k127_31932	301	No terminal repeats	1	11	0.7460	NA	0	1.2661	NA	NA
k127_71438	362	No terminal repeats	1	11	0.7420	NA	0	1.2661	NA	NA
k127_85711	954	No terminal repeats	2	11	0.7357	NA	0	0.0000	NA	NA
k127_77575	641	No terminal repeats	3	11	0.7338	NA	0	0.8994	NA	NA
k127_95068	1185	No terminal repeats	2	11	0.7309	NA	0	0.0000	NA	NA
k127_62465	301	No terminal repeats	1	11	0.7296	NA	0	1.0922	NA	NA
k127_3248	300	No terminal repeats	1	11	0.7269	NA	0	0.9377	NA	NA
k127_80238	343	No terminal repeats	1	11	0.7240	NA	0	0.9729	NA	NA
k127_20296	301	No terminal repeats	1	11	0.7126	NA	0	1.2661	NA	NA
k127_10191	2422	No terminal repeats	7	11	0.7108	NA	0	0.0000	NA	NA
k127_82744	296	No terminal repeats	1	11	0.7094	NA	1	1.1471	T_virB6	NA
k127_33926	1286	No terminal repeats	3	11	0.7084	NA	0	0.0000	NA	NA
k127_97074	301	No terminal repeats	2	11	0.7077	NA	0	0.3691	NA	NA
