seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_4493	301	No terminal repeats	1	11	0.9898	NA	0	1.7183	NA	NA
k127_7549	300	No terminal repeats	1	11	0.7844	NA	0	0.0000	NA	NA
k127_1661	376	No terminal repeats	1	11	0.7775	NA	0	0.0000	NA	NA
k127_2988	301	No terminal repeats	1	11	0.7480	NA	0	0.0000	NA	NA
k127_1794	296	No terminal repeats	1	11	0.7421	NA	0	0.0000	NA	NA
k127_1634	500	No terminal repeats	1	11	0.7263	NA	0	0.0000	NA	NA
k127_3059	296	No terminal repeats	1	11	0.7229	NA	0	0.0000	NA	NA
k127_398	435	No terminal repeats	1	11	0.7208	NA	0	0.0000	NA	NA
k127_247	298	No terminal repeats	2	11	0.7185	NA	0	0.0000	NA	NA
k127_1553	525	No terminal repeats	2	11	0.7135	NA	0	0.0000	NA	NA
k127_1866	301	No terminal repeats	1	11	0.7109	NA	0	0.0000	NA	NA
k127_96	289	No terminal repeats	1	11	0.6883	NA	0	0.0000	NA	NA
k127_2270	297	No terminal repeats	1	11	0.6864	NA	0	0.0000	NA	NA
k127_7937	301	No terminal repeats	1	11	0.6795	NA	0	0.0000	NA	NA
k127_8992	289	No terminal repeats	1	11	0.6766	NA	0	0.0000	NA	NA
k127_7566	297	No terminal repeats	1	11	0.6625	NA	0	0.0000	NA	NA
k127_470	300	No terminal repeats	2	11	0.6623	NA	0	0.0000	NA	NA
k127_9412	299	No terminal repeats	1	11	0.6537	NA	0	0.0000	NA	NA
k127_6130	301	No terminal repeats	2	11	0.6520	NA	0	0.0000	NA	NA
k127_2630	300	No terminal repeats	1	11	0.6386	NA	0	0.0000	NA	NA
k127_8831	296	No terminal repeats	1	11	0.6369	NA	0	0.0000	NA	NA
k127_4934	297	No terminal repeats	1	11	0.6329	NA	0	0.0000	NA	NA
k127_2552	299	No terminal repeats	1	11	0.6328	NA	0	0.0000	NA	NA
k127_3879	2532	No terminal repeats	5	11	0.6313	NA	0	0.0000	NA	NA
k127_465	300	No terminal repeats	1	11	0.6291	NA	0	0.0000	NA	NA
k127_2071	302	No terminal repeats	1	11	0.6290	NA	0	0.0000	NA	NA
k127_7674	299	No terminal repeats	1	11	0.6258	NA	0	0.0000	NA	NA
