seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_7372	429	No terminal repeats	NA	1	11	0.9727	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_4914	385	No terminal repeats	NA	1	11	0.9725	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_1064	502	No terminal repeats	NA	1	11	0.9721	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota
k127_5622	540	No terminal repeats	NA	1	11	0.9720	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_7888	569	No terminal repeats	NA	1	11	0.9718	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota
k127_2782	508	No terminal repeats	NA	1	11	0.9718	NA	0	1.7183	Viruses;Riboviria
k127_1797	498	No terminal repeats	NA	1	11	0.9717	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_2666	259	No terminal repeats	NA	1	11	0.9716	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales
k127_5791	575	No terminal repeats	NA	1	11	0.9715	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_1812	1772	No terminal repeats	NA	3	11	0.9711	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4768	295	No terminal repeats	NA	1	11	0.9707	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_4231	358	No terminal repeats	NA	1	11	0.9704	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_7616	408	No terminal repeats	NA	1	11	0.9700	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_4496	414	No terminal repeats	NA	1	11	0.9697	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_2637	282	No terminal repeats	NA	1	11	0.9692	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales
k127_7882	315	No terminal repeats	NA	1	11	0.9690	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_1480	424	No terminal repeats	NA	1	11	0.9684	NA	1	1.7183	Viruses;Riboviria;Orthornavirae
k127_2874	468	No terminal repeats	NA	1	11	0.9682	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_101	324	No terminal repeats	NA	1	11	0.9680	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_3840	376	No terminal repeats	NA	1	11	0.9680	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_6386	360	No terminal repeats	NA	1	11	0.9679	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_2481	339	No terminal repeats	NA	1	11	0.9677	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_6197	595	No terminal repeats	NA	1	11	0.9676	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6129	376	No terminal repeats	NA	1	11	0.9675	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_8834	346	No terminal repeats	NA	1	11	0.9670	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5440	291	No terminal repeats	NA	1	11	0.9659	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_7251	422	No terminal repeats	NA	1	11	0.9658	NA	1	1.7183	Viruses;Riboviria;Orthornavirae
k127_7750	1571	No terminal repeats	NA	2	11	0.9655	NA	1	3.2574	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5183	284	No terminal repeats	NA	1	11	0.9654	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1811	301	No terminal repeats	NA	1	11	0.9654	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8693	307	No terminal repeats	NA	1	11	0.9651	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4804	543	No terminal repeats	NA	1	11	0.9651	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_8532	422	No terminal repeats	NA	3	11	0.9650	NA	0	2.6425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
