seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_7869|provirus_3332_21546	18215	Provirus	3332-21546	27	11	0.9810	NA	1	34.1629	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3680	4766	No terminal repeats	NA	6	11	0.9790	NA	3	7.1832	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2446	30947	No terminal repeats	NA	49	11	0.9777	NA	4	52.2593	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1480	5086	No terminal repeats	NA	4	11	0.9767	NA	2	4.1350	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2319	6280	No terminal repeats	NA	9	11	0.9766	NA	6	9.2346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8705	16291	No terminal repeats	NA	35	11	0.9761	NA	1	18.7957	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1995	1088	No terminal repeats	NA	1	11	0.9741	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_2566	658	No terminal repeats	NA	1	11	0.9736	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_2034	423	No terminal repeats	NA	1	11	0.9727	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_2200	547	No terminal repeats	NA	1	11	0.9719	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_6231	488	No terminal repeats	NA	2	4	0.9708	NA	0	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8744	479	No terminal repeats	NA	1	11	0.9701	NA	0	1.7183	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales
k127_5546	481	No terminal repeats	NA	1	11	0.9697	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_4558	453	No terminal repeats	NA	1	11	0.9693	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_6884	378	No terminal repeats	NA	1	11	0.9691	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_1131	471	No terminal repeats	NA	1	11	0.9684	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota
k127_5956	553	No terminal repeats	NA	1	11	0.9681	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_10908	392	No terminal repeats	NA	1	11	0.9669	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_5431	444	No terminal repeats	NA	1	11	0.9667	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_7216	300	No terminal repeats	NA	1	11	0.9667	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_2351	556	No terminal repeats	NA	1	11	0.9667	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_8449	1564	No terminal repeats	NA	3	11	0.9663	NA	3	4.4713	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_85	341	No terminal repeats	NA	1	11	0.9661	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_2197	297	No terminal repeats	NA	1	11	0.9659	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4658	287	No terminal repeats	NA	1	11	0.9655	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5237	270	No terminal repeats	NA	1	11	0.9652	NA	0	1.4533	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3749	411	No terminal repeats	NA	1	11	0.9647	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales
k127_1583	520	No terminal repeats	NA	1	11	0.9643	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_3854	467	No terminal repeats	NA	1	11	0.9641	NA	0	1.7183	Viruses;Riboviria
k127_5144	5279	No terminal repeats	NA	9	11	0.9636	NA	2	6.0231	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8530	655	No terminal repeats	NA	1	11	0.9627	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_9225	301	No terminal repeats	NA	1	11	0.9626	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4989	289	No terminal repeats	NA	1	11	0.9621	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8297	300	No terminal repeats	NA	1	11	0.9613	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7060	275	No terminal repeats	NA	1	11	0.9598	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9548	297	No terminal repeats	NA	1	11	0.9596	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4388	341	No terminal repeats	NA	1	11	0.9595	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_8359	277	No terminal repeats	NA	1	11	0.9592	NA	0	1.4408	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11081	461	No terminal repeats	NA	1	11	0.9582	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_3437	234	No terminal repeats	NA	1	11	0.9575	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2908	424	No terminal repeats	NA	1	11	0.9574	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales
k127_11094	585	No terminal repeats	NA	1	11	0.9571	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_10306	290	No terminal repeats	NA	1	11	0.9570	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8370	229	No terminal repeats	NA	1	11	0.9570	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10147	286	No terminal repeats	NA	1	11	0.9555	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9141	526	No terminal repeats	NA	1	11	0.9552	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales
k127_5670	301	No terminal repeats	NA	1	11	0.9532	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6638	226	No terminal repeats	NA	1	11	0.9531	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7776	226	No terminal repeats	NA	1	11	0.9529	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2756	301	No terminal repeats	NA	1	11	0.9526	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_6784	160	No terminal repeats	NA	1	11	0.9518	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3271	231	No terminal repeats	NA	1	11	0.9517	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8643	245	No terminal repeats	NA	1	11	0.9506	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7379	370	No terminal repeats	NA	1	11	0.9495	NA	0	1.7183	Unclassified
k127_4156	482	No terminal repeats	NA	1	11	0.9490	NA	0	1.7183	Unclassified
k127_4462	293	No terminal repeats	NA	1	11	0.9490	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1988	231	No terminal repeats	NA	1	11	0.9456	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10728	363	No terminal repeats	NA	1	11	0.9454	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_6534	523	No terminal repeats	NA	2	11	0.9454	NA	0	3.3258	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7439	300	No terminal repeats	NA	1	11	0.9445	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5809	274	No terminal repeats	NA	1	11	0.9445	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5744	242	No terminal repeats	NA	1	11	0.9432	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4595	231	No terminal repeats	NA	1	11	0.9432	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5462	309	No terminal repeats	NA	1	11	0.9419	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_3373	299	No terminal repeats	NA	1	11	0.9411	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10086	294	No terminal repeats	NA	1	11	0.9398	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1925	236	No terminal repeats	NA	1	11	0.9395	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2525	238	No terminal repeats	NA	1	11	0.9394	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7711	230	No terminal repeats	NA	1	11	0.9382	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6181	300	No terminal repeats	NA	1	11	0.9380	NA	1	1.4583	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5899	340	No terminal repeats	NA	1	11	0.9380	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales
k127_1109	290	No terminal repeats	NA	2	11	0.9372	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10626	319	No terminal repeats	NA	1	11	0.9349	NA	0	1.2091	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10458	232	No terminal repeats	NA	1	11	0.9335	NA	0	1.3055	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5566	309	No terminal repeats	NA	1	11	0.9329	NA	0	1.7183	Unclassified
k127_8021	1555	No terminal repeats	NA	4	11	0.9323	NA	1	4.3068	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10557	267	No terminal repeats	NA	1	11	0.9319	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_613	300	No terminal repeats	NA	1	11	0.9311	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5429	266	No terminal repeats	NA	1	11	0.9298	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11063	266	No terminal repeats	NA	2	11	0.9287	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_9676	294	No terminal repeats	NA	1	11	0.9286	NA	0	1.4187	Unclassified
k127_998	301	No terminal repeats	NA	1	11	0.9279	NA	0	1.2841	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6942	276	No terminal repeats	NA	1	11	0.9278	NA	0	1.1165	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9837	8149	No terminal repeats	NA	13	11	0.9278	NA	10	18.1244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10175	6330	No terminal repeats	NA	14	11	0.9277	NA	1	3.4728	Unclassified
k127_9972	278	No terminal repeats	NA	1	11	0.9276	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3876	576	No terminal repeats	NA	1	11	0.9262	NA	0	1.4887	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2820	2492	No terminal repeats	NA	6	11	0.9260	NA	0	3.2933	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1213	301	No terminal repeats	NA	1	11	0.9243	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9324	367	No terminal repeats	NA	1	11	0.9227	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8593	295	No terminal repeats	NA	1	11	0.9226	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5452	301	No terminal repeats	NA	1	11	0.9220	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9689	392	No terminal repeats	NA	1	11	0.9217	NA	0	1.4374	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7868	265	No terminal repeats	NA	1	11	0.9212	NA	0	1.7183	Unclassified
k127_7960	410	No terminal repeats	NA	2	11	0.9192	NA	0	1.3171	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8637	288	No terminal repeats	NA	2	11	0.9191	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_146	229	No terminal repeats	NA	1	11	0.9174	NA	0	1.1407	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9351	291	No terminal repeats	NA	1	11	0.9153	NA	0	1.3280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_275	290	No terminal repeats	NA	1	11	0.9132	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8064	265	No terminal repeats	NA	1	11	0.9131	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_884	374	No terminal repeats	NA	2	11	0.9124	NA	0	1.4024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8913|provirus_2_17216	17215	Provirus	2-17216	27	11	0.9073	NA	5	13.2805	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7495	269	No terminal repeats	NA	1	11	0.9073	NA	0	1.3953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1112	253	No terminal repeats	NA	1	11	0.9072	NA	0	1.7113	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7011	340	No terminal repeats	NA	1	11	0.9050	NA	0	1.1798	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5166	229	No terminal repeats	NA	1	11	0.9018	NA	0	1.2162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5585	365	No terminal repeats	NA	2	11	0.9017	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6471	648	No terminal repeats	NA	2	11	0.8985	NA	0	1.7183	Unclassified
k127_5294	300	No terminal repeats	NA	1	11	0.8984	NA	0	1.5736	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_912	525	No terminal repeats	NA	2	11	0.8979	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3674	521	No terminal repeats	NA	1	11	0.8966	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8084	301	No terminal repeats	NA	1	11	0.8960	NA	1	1.3199	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1190	233	No terminal repeats	NA	1	11	0.8956	NA	0	1.4721	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4703	320	No terminal repeats	NA	2	11	0.8936	NA	1	1.0896	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6982	323	No terminal repeats	NA	1	11	0.8914	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_65	456	No terminal repeats	NA	2	11	0.8906	NA	1	2.9082	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
